id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href,Thời gian ghi nhận,Gia_Thuc_Te_Trieu,Gia_AI_Du_Doan_Trieu,Co_Bat_Thuong,Ly_Do_Chi_Tiet
89,54zz máy nhão gtdd,4.000.000 đ,28.55 tr,33.51 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Máy 54zz máy kêu
Bán hoặc giao lưu mio hoặc luvias",Yamaha,Exciter,2023,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123476920.htm,2025-11-28 15:50:25,4.0,25.240824,1,Giá RẺ bất thường. AI dự đoán: 25.24 tr. (Thấp hơn 84%)
95,Bán cho ae dam mê xe xipo,15.000.000 đ,118.87 tr,139.54 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",Xe đẹp như hình máy bao ngon bao êm mua về chỉ chạy ko nhận tin nhấn mua gọi đt hoặc zalo nhé ok ***,Suzuki,Sport / Xipo,1998,15000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123422941.htm,2025-11-28 15:50:25,15.0,72.39694,1,Giá RẺ bất thường. AI dự đoán: 72.40 tr. (Thấp hơn 79%)
101,Bán cho ai có nhu cầu,11.100.000 đ,3.91 tr,4.59 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Xe chính chủ
Giá còn thương lượng
32/16 nguyễn hữu cầu",Hãng khác,Dòng khác,2001,50000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123372901.htm,2025-11-28 15:50:25,11.1,5.632606,1,Giá CAO bất thường. AI dự đoán: 5.63 tr. (Cao hơn 97%)
109,còn thương lượng,12.000.000 đ,3.91 tr,4.59 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Cần bán gấp xe như mới
Liên hệ nhanh với e nha",Hãng khác,Dòng khác,2001,150000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123317552.htm,2025-11-28 15:50:25,12.0,5.9378295,1,Giá CAO bất thường. AI dự đoán: 5.94 tr. (Cao hơn 102%)
141,Wave alpha 2002 bstp chính chủ,14.500.000 đ,10.55 tr,12.38 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Do không còn nhu cầu sử dụng nên bán em nó,xe nhà đang đi máy móc ổn định,xe đã làm nồi,đầu lòng vì xe dùng để đi nên máy móc xuống thì phải làm đi cho mạnh,máy móc làm theo zin chứ không độ.máy giữa chưa chẻ.xe chính mình đứng tên.ưu tiên bán cho người sử dụng,cò lái giá này mấy anh không lấy được đâu,xin cám ơn.",Honda,Wave,2002,100000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124506323.htm,2025-11-28 15:50:25,14.5,7.3135405,1,Giá CAO bất thường. AI dự đoán: 7.31 tr. (Cao hơn 98%)
155,Xe Honda Spacy 2001 xuất xứ Nhựt,85.000.000 đ,23.12 tr,27.14 tr,"Phường 10, Quận 3, Tp Hồ Chí Minh","Xe Honda Spacy đăng ký đời 2001
Xuất xứ: Nhựt
Màu nho",Honda,Spacy,2001,85000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/122655890.htm,2025-11-28 15:50:25,85.0,31.313015,1,Giá CAO bất thường. AI dự đoán: 31.31 tr. (Cao hơn 171%)
161,ban xe,80.000.000 đ,62.76 tr,73.68 tr,"Phường 1, Quận 3, Tp Hồ Chí Minh",Xe còn đẹp. Chính chủ. Ko đâm đụng. Xem xe tại nhà,Honda,SH,2019,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124395562.htm,2025-11-28 15:50:25,80.0,42.400536,1,Giá CAO bất thường. AI dự đoán: 42.40 tr. (Cao hơn 89%)
162,"XE NHÀ DÙNG, FUTURE BỀN ĐẸP VỚI THỜI GIAN",35.000.000 đ,14.16 tr,16.63 tr,"Phường 4, Quận 3, Tp Hồ Chí Minh","-Xe 1 đời chủ, bao sang tên
-Máy đề là nổ, bao tiết kiệm xăng
-Xe mới keng, anh em mua sưu tầm liên hệ.
-Xe ở Q3",Honda,Future,2000,12000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124330476.htm,2025-11-28 15:50:25,35.0,15.656689,1,Giá CAO bất thường. AI dự đoán: 15.66 tr. (Cao hơn 124%)
163,BÁN XE CÒN NGUYEN BẢN,80.000.000 đ,35.74 tr,41.95 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Gia đình xe muốn bán HONDA đời 82 . Xe đi ít nên rất đẹp, máy móc zin đi êm, sơn nhựa đẹp còn ZIN chắc chắn. Giấy tờ đầy đủ, xem xe trực tiếp tại nhà.
Ac quan tâm alo nhé!
 ĐT: *** anh Quang",Honda,Dòng khác,1998,70000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124059561.htm,2025-11-28 15:50:25,80.0,19.11937,1,Giá CAO bất thường. AI dự đoán: 19.12 tr. (Cao hơn 318%)
171,Cần bán sh 150 ý đầu 105,12.345.678 đ,98.4 tr,115.51 tr,"Phường 11, Quận 3, Tp Hồ Chí Minh","Cần bán sh 150 ý đầu máy 105. Bs tphcm . Đăng ký 2010 chính chủ ký giấy mua bán hay ủy quyền tùy ae 
Tình trạng máy móc nguyên zin đầu chao chưa chạm, dàn áo mới sơn lại đỏ tươi 
Giá: 133tr có giá fixx đẹp cho ae xem e trực tiếp nhanh gọn",Honda,SH,2010,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123914282.htm,2025-11-28 15:50:25,12.345678,101.42339,1,Giá RẺ bất thường. AI dự đoán: 101.42 tr. (Thấp hơn 88%)
192,Xe honda 3 bánh,24.000.000 đ,,,"Phường 4, Quận 3, Tp Hồ Chí Minh","Xe honda còn zin 100%, xe 50cc nhưng vặn nhẹ là bay nha, máy móc đồ đạc nguyên zin, bán 24 tẹo nha, xem xe Quận 3, alo ochin33 ochin6 bay8chin có dép lào",Honda,Chaly,2010,50000,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123747006.htm,2025-11-28 15:50:25,24.0,9.858089,1,Giá CAO bất thường. AI dự đoán: 9.86 tr. (Cao hơn 143%)
210,nhà dư xe nên e bán AB nhập thái 2009Fi chuẩn bstp,27.500.000 đ,8.6 tr,10.1 tr,"Phường 11, Quận 3, Tp Hồ Chí Minh","🌈AB nhập thái THÁI FI 2009 Biển Dễ Thương 1 Chủ 

➖#BS_2095( Bao Ký Uq sang tên 20 Năm ) 
➖Đk 2009 ( Đúng đời Fi )
➖xe người nhà đi ra chợ rồi đi về 
➖Máy Zin ( Bao Đầu Chưa Rớt )
➖dán keo xe nguyên chiếc 

💸 : trả giá thoải mái 

📲*** xem xe trực tiếp tại 
436/30 cách mạng T8 p.11 quận 3p",Honda,Air Blade,2009,32000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123465564.htm,2025-11-28 15:50:25,27.5,11.253083,1,Giá CAO bất thường. AI dự đoán: 11.25 tr. (Cao hơn 144%)
215,Honda future1 2001- odo 16ngan km,50.500.000 đ,13.94 tr,16.37 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Dư dùng , không chạy future1 -2001- odo 16 ngàn 
Xe zin nguyên chiếc , vỏ nguyên cặp chưa thay .
Chưa xúc bình xăng con , ai cần liên hệ , xe tôi đứng tên cavet . Giá 50t 500 thanks",Honda,Future,2001,16000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123588262.htm,2025-11-28 15:50:25,50.5,15.007139,1,Giá CAO bất thường. AI dự đoán: 15.01 tr. (Cao hơn 237%)
237,Bán xe cub 125,89.000.000 đ,74.65 tr,87.63 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Do nữ đi muốn đổi sang xe ga có cốp xe nên muốn bán
Xe sx 2023, đăng kí 2024",Honda,Cub,2024,10060,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123340397.htm,2025-11-28 15:50:25,89.0,41.76647,1,Giá CAO bất thường. AI dự đoán: 41.77 tr. (Cao hơn 113%)
238,Bán xe cho ai thật sự cần,295 đ,21.42 tr,25.14 tr,"Phường 12, Quận 3, Tp Hồ Chí Minh","Xe đk lần đâu 2018
Odo 14k km
Xe bảo dưỡng đầy đủ 
Chưa rớt đầu, ko đâm đụng
Còn gù và tay côn, xi nhan zin của xe
Vừa mới thay NSD DID, lốp sau
Xe chính chủ biển số quận 3, chỉ ký giấy mua bán 
Nhà dư dùng nên miễn Không tiếp cò lái mất thời gian
Có thương lượng cho ai thiện chí
Bán cho ai thật sự cần !
Ib hoặc kb zalo:*** chỉ nhận tin nhắn",Honda,MSX 125,2018,14000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123447400.htm,2025-11-28 15:50:25,0.000295,17.658276,1,Giá RẺ bất thường. AI dự đoán: 17.66 tr. (Thấp hơn 100%)
241,Bán xe Cub 96 - 70cc,40.000.000 đ,8.52 tr,10 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Cần bán xe Cub đời 1996, 70cc. Xe đăng ký 1 chủ từ lúc mới mua đến giờ.",Honda,Cub,1996,56000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123437158.htm,2025-11-28 15:50:25,40.0,12.509702,1,Giá CAO bất thường. AI dự đoán: 12.51 tr. (Cao hơn 220%)
247,"xe cub Custom cốp nỗi đèn vuông có đề 1996,90 cc",45.000.000 đ,8.52 tr,10 tr,"Quận 3, Tp Hồ Chí Minh",Bán xe cub custom đèn vuông có đề màu xanh nhớt một chủ mua mới từ đầu sang tên thoải mái xem xe Saigon q3,Honda,Cub,1996,30000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123390387.htm,2025-11-28 15:50:25,45.0,12.615491,1,Giá CAO bất thường. AI dự đoán: 12.62 tr. (Cao hơn 257%)
252,Vespa LX 125 ie đèn vuông đời đầu phun xăng FI,13.000.000 đ,7.2 tr,8.45 tr,"Phường 5, Quận 3, Tp Hồ Chí Minh","Bán Piaggio LX 125 ie màu đen, đăng ký lần đầu 2011 bstp, odo 20.000km, xe rất ít khi chạy, xem xe, kiểm tra xe, mua bán tại nhà, giá mình bán 13tr",Piaggio,LX,2011,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123338427.htm,2025-11-28 15:50:25,13.0,6.4353566,1,Giá CAO bất thường. AI dự đoán: 6.44 tr. (Cao hơn 102%)
256,Bán xe Future Neo GT 2007,32.000.000 đ,21.51 tr,25.25 tr,"Phường 5, Quận 3, Tp Hồ Chí Minh","Xe rất mới và đẹp, đời xe 2007
Xe màu đen và xám 
Biển số TP.HCM 
Giá bán : 32.000.000 ( giá ưu đãi cho anh/chị có thiện chí mua hàng )",Honda,Future,2007,75000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/121800258.htm,2025-11-28 15:50:25,32.0,16.694166,1,Giá CAO bất thường. AI dự đoán: 16.69 tr. (Cao hơn 92%)
258,Blade 50cc học sinh đi học,8.500.000 đ,6.24 tr,7.32 tr,"Phường 1, Quận 3, Tp Hồ Chí Minh","Giấy tờ đầy đủ bao tranh chấp đăng kí đời 2017
Xe máy im ru mạnh bóc
Biển số thành phố
Điện đề đầy đủ full chức năng
Kí hợp đồng mua bán rõ ràng khi giao dịch",Hãng khác,Dòng khác,2017,40000,Đã sử dụng,Xe số,Dưới 50 cc,Trung Quốc,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123184881.htm,2025-11-28 15:50:25,8.5,4.339897,1,Giá CAO bất thường. AI dự đoán: 4.34 tr. (Cao hơn 96%)
264,Q3-Supper Dream 2005 Chính Chủ xe nhà sử dụng,18.500.000 đ,10.41 tr,12.22 tr,"Phường 10, Quận 3, Tp Hồ Chí Minh","Super Dream 2005
Xe nhà dư dùng nên bán.Chính Chủ sang tên,uy quyền 
Xe hiện trạng như hình
Xe có rớt đầu cạo khói
Suờn còn đẹp,cứng cáp .phần đuôi hơi mụt nhẹ
Máy êm ,nhẹ.
ACE có nhu cầu qua nhà xem trực tiếp cho tiện em để xe bên nhà vợ Q3 Trần Quốc Toản

 VÌ E Hay Đi Ngoài Đường,Làm Công Chuyện.Nên ACE Quan Tâm Thiện Chí Gọi E luôn Nha.Em Cảm Ơn
----/Àd duyệt giúp e ạ.em cảm ơn❤️",Honda,Dream,2005,58000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123148047.htm,2025-11-28 15:50:25,18.5,9.741059,1,Giá CAO bất thường. AI dự đoán: 9.74 tr. (Cao hơn 90%)
279,Vesp,24.000.000 đ,8.59 tr,10.08 tr,"Phường 8, Quận 4, Tp Hồ Chí Minh","Vespa vxl 125 cc không xử dụng ít đi đồng hồ 4500km không xử dụng nữa cần bán,hồ sơ cầm tay,chính chủ.",Piaggio,Vespa,2012,4500,Đã sử dụng,Tay ga,50 - 100 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/124100364.htm,2025-11-28 15:50:25,24.0,10.651926,1,Giá CAO bất thường. AI dự đoán: 10.65 tr. (Cao hơn 125%)
282,bán xe máy ít chạy,13.000.000 đ,19.34 tr,22.71 tr,"Phường 8, Quận 4, Tp Hồ Chí Minh","Mua cho em gái ít có chạy , giờ không cần nên bán",Honda,Dòng khác,2017,131794,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/125005722.htm,2025-11-28 15:50:25,13.0,6.9515595,1,Giá CAO bất thường. AI dự đoán: 6.95 tr. (Cao hơn 87%)
287,Ex nhỏ ít chạy xe máy êm,55.000.000 đ,42.81 tr,50.25 tr,"Phường 3, Quận 4, Tp Hồ Chí Minh","Xe để nhà ít chạy bề ngoài đẹp.
Xe bao trach chấp",Yamaha,Exciter,2006,57000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/124915578.htm,2025-11-28 15:50:25,55.0,27.111126,1,Giá CAO bất thường. AI dự đoán: 27.11 tr. (Cao hơn 103%)
294,Thanh lý xe gia đình,8.000.000 đ,3.89 tr,4.57 tr,"Phường 6, Quận 4, Tp Hồ Chí Minh","Cần bán xe gia đình 
Máy móc zin, máy êm không hú 
Biển SG dễ nhìn dễ nhớ 
Sang tên kí uỷ quyền bất cứ lúc nào",SYM,Joyride,2010,422560,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/124769154.htm,2025-11-28 15:50:25,8.0,4.279109,1,Giá CAO bất thường. AI dự đoán: 4.28 tr. (Cao hơn 87%)
295,Sei Giorni 300 HPE,105.000.000 đ,43.05 tr,50.54 tr,"Phường 14, Quận 4, Tp Hồ Chí Minh","Chính chủ, thường xuyên đi bảo hành hãng. Do nhu cầu thay đổi, muốn sang nhượng lại bạn nào thích dòng này.",Piaggio,Vespa,2022,268888,Đã sử dụng,Tay ga,Trên 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/124713647.htm,2025-11-28 15:50:25,105.0,47.822453,1,Giá CAO bất thường. AI dự đoán: 47.82 tr. (Cao hơn 120%)
304,Đi mỹ bán xe nhà sd,14.500.000 đ,10.02 tr,11.76 tr,"Phường 13, Quận 4, Tp Hồ Chí Minh","Cần bán gấp xe nhà sử dụng , máy êm bảo đảm chạy bền sang đẹo",Honda,Air Blade,2011,600000,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/124325917.htm,2025-11-28 15:50:25,14.5,7.4787617,1,Giá CAO bất thường. AI dự đoán: 7.48 tr. (Cao hơn 94%)
